Pos,No.,Player 1,twitter_1,No,Player 2,twitter_2,No.1,Player 3,twitter_3,No.2,Player 4,twitter_4,No.3,Player 5,twitter_5
LT,58.0,"Harris, Bless RS SR/TR",,56.0,"Taylor-Whitfield, Ben SO",,,,,,,,,,
LG,60.0,"Bennett, Cade RS JR/TR",,55.0,"Strickland, Remington RS JR/TR",,,,,,,,,,
C,52.0,"Brockermeyer, James RS JR/TR",,51.0,"Deery, Coltin JR/TR",,,,,,,,,,
RG,62.0,"Bruno, Carson RS JR/TR",,77.0,"Rochester, Robby RS JR/TR",,,,,,,,,,
RT,71.0,"Nichols, Mike RS SR",,54.0,"Harris, Quinton RS SO",,,,,,,,,,
TE,9.0,"Dabney, Drake SR/TR",,81.0,"Curtis, Chase RS SR/TR",,0.0,"Rogers, DJ RS JR",,,,,,,
QB,10.0,"Hoover, Josh RS SO",,19.0,"Seals, Ken RS JR/TR",,1.0,"Hejny, Hauss FR",,,,,,,
RB,4.0,"Cook, Cam SO",,2.0,"Sanders, Trey RS SR/TR",,17.0,"Battle, Trent RS JR",,,,,,,
DEF,,,,,,,,,,,,,,,
DE,97.0,"Oyewale, Paul RS SO",,54.0,"Osafo-Mensah, NaNa RS SR/TR",,94.0,"Ibukun-Okeyode, Micheal RS SO",,,,,,,
NT,91.0,"Mitchell, Tymon RS SR/TR",,95.0,"Deal, Markis RS FR",,,,,,,,,,
DT,90.0,"Fox, Caleb SR/TR",,42.0,"Chapman, Zachary RS FR",,,,,,,,,,
WLB,11.0,"Deal, Devean RS JR/TR",,9.0,"Brooks, Marcel SR/TR",,44.0,"McDonald, Cooper SR/TR",,,,,,,
MLB,3.0,"Elarms-Orr, Kaleb RS JR/TR",,0.0,"Banks Jr., Shad SR/TR",,19.0,"Bax, Jonathan SO",,,,,,,
SLB,4.0,"Obiazor, Namdi SR/TR",,57.0,"Hodges, Johnny RS JR/TR",,12.0,"Cooks Jr., Terrence RS JR/TR",,,,,,,
LCB,13.0,"Broughton, JaTravis SR/TR",,6.0,"James, LaMareon SR/TR",,26.0,"Glover, Vernon SO",,,,,,,
SS,23.0,"Toney Jr., Richard RS JR/TR",,2.0,"Johnson, Jamel SO",,25.0,"Oliver, Jaise RS SR/TR",,,,,,,
FS,21.0,"Clark, Bud RS JR",,29.0,"Smith, Cam SR/TR",,,,,,,,,,
RCB,24.0,"Helm, Avery SR/TR",,7.0,"Canada, Channing RS JR/TR",,,,,,,,,,
NB,1.0,"Camara, Abe SR/TR",,22.0,"Lester, Jordan RS FR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,31.0,"Craw, Ethan JR/TR",,97.0,"Black, Easton RS SO",,,,,,,,,,
PK,34.0,"Lemmermann, Kyle FR",,99.0,"McCashland, Nate RS FR",,,,,,,,,,
KO,34.0,"Lemmermann, Kyle FR",,99.0,"McCashland, Nate RS FR",,,,,,,,,,
LS,42.0,"Matiscik, Brent RS SR",,,,,,,,,,,,,
H,31.0,"Craw, Ethan JR/TR",,97.0,"Black, Easton RS SO",,,,,,,,,,
PR,7.0,"Richardson, JP SR/TR",,11.0,"Earle, JoJo SR/TR",,,,,,,,,,
KR,13.0,"Everhart, Major RS SO",,15.0,"Palmer, Nate FR",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Texas Tech Red Raiders,,,,,,,,,,,,,,,
WR-X,8.0,"Eakin, Coy RS SO",,13.0,"Boyd, Brady RS JR/TR",,6.0,"Valsin, Kelby RS FR",,19.0,"Wiginton, Haydon RS JR/TR",,,,
WR-Z,5.0,"Douglas, Caleb JR/TR",,4.0,"Brown, Jordan RS SR/TR",,11.0,"West, T.J. RS FR",,14.0,"Hocutt, Drew RS SR/TR",,,,
WR-SL,18.0,"Kelly, Josh RS SR/TR",,10.0,"McCray, Drae SR/TR",,1.0,"Hudson, Micah FR",,,,,,,
LT,79.0,"Porcher, Sterling SR/TR",,77.0,"Rodriques, Maurice RS JR/TR",,70.0,"Ponton, Jacob FR",,,,,,,
LG,71.0,"Sciury, Vinny SR/TR",,63.0,"Shaw, Dylan RS FR",,60.0,"Fattig, Nick RS FR",,,,,,,
C,72.0,"Wilson, Sheridan RS SO",,56.0,"Carter, Davion RS SR/TR",,69.0,"Rodkey, Caleb RS JR",,,,,,,
RG,76.0,"Rogers, Caleb SR",,56.0,"Carter, Davion RS SR/TR",,54.0,"Carr, Kaden RS FR",,,,,,,
RT,75.0,"Buchanan, Ty RS JR/TR",,67.0,"Merryman, Dalton RS JR/TR",,74.0,"Sill, Daniel RS FR",,,,,,,
TE,80.0,"Tharp, Mason SR",,12.0,"Conyers, Jalin RS SR/TR",,9.0,"Miller II, Johncarlos RS JR/TR",,,,,,,
QB,2.0,"Morton, Behren RS JR",,7.0,"Brown, Cameran RS SO/TR",,17.0,"Strong, Jake RS FR",,15.0,"Hammond, Will FR",,,,
RB,28.0,"Brooks, Tahj SR",,0.0,"Valdez, Cam'Ron RS JR",,33.0,"Dickey, Cameron FR",,,,,,,
DEF,,,,,,,,,,,,,,,
EDGE,17.0,"Smith, Isaac RS JR",,11.0,"Esters III, Charles RS JR",,96.0,"Washington, Amier RS FR",,99.0,"Carrell, Sam RS JR/TR",,,,
NT,5.0,"Ledet Jr., Quincy SR/TR",,51.0,"Cofield, Jayden RS FR",,91.0,"Hansen, James RS SR/TR",,58.0,"Allen, Tanner RS SO",,,,
DT,8.0,"Banks, E'Maurion RS JR",,52.0,"Carroll, De'Braylon RS SR/TR",,95.0,"McAlpine, Trevon RS SO",,94.0,"Rigsby, Braylon RS FR",,,,
EDGE,14.0,"Adedire, Joseph JR",,19.0,"Spencer, Dylan SO",,33.0,"Dyson III, Harvey RS SO",,45.0,"Tilmon, Terrell RS JR/TR",,,,
MLB,13.0,"Roberts, Ben RS SO",,42.0,"Curry, John RS FR",,36.0,"Horne, Justin RS FR",,40.0,"Smith, Wesley RS SO",,,,
WLB,10.0,"Rodriguez, Jacob RS JR/TR",,3.0,"Ramirez, Bryce RS SR",,34.0,"Low, Trent RS JR",,,,,,,
LCB,0.0,"Lux, Bralyn RS SR/TR",,22.0,"Cromwell, Devynn SR/TR",,30.0,"Thompson, Miles RS FR",,18.0,"Collins, Isaiah FR",,,,
SS,9.0,"Baskerville, C.J. SR/TR",,27.0,"Wilcox, Javeon RS FR/TR",,35.0,"Dingle, Miquel RS FR",,0.0,"Esquerra, Malik FR",,,,
FS,25.0,"Lewis, Chapman SO",,28.0,"Sanford, Jordan SO",,31.0,"Plunk, Joseph RS SR",,0.0,"Morgan, Peyton FR",,,,
RCB,4.0,"Horn, Maurion RS SO",,2.0,"Peoples, Jalon RS SO",,12.0,"Stevenson, Macho RS FR",,25.0,"Davis, JMaury RS FR",,,,
STAR,1.0,"McCarty, A.J. RS JR",,7.0,"Jordan, Brenden SO",,20.0,"Ramon-Edwards, Marcus RS FR",,0.0,"Miles III, Oliver FR",,,,
ST,,,,,,,,,,,,,,,
PT,41.0,"Burgess, Jack JR/TR",,0.0,"Turner, Kaden FR",,,,,,,,,,
PK,99.0,"Garcia, Gino RS SR/TR",,38.0,"Burkhardt, Reese SR/TR",,48.0,"Harrington, Stone RS SO",,,,,,,
KO,38.0,"Burkhardt, Reese SR/TR",,99.0,"Garcia, Gino RS SR/TR",,48.0,"Harrington, Stone RS SO",,,,,,,
LS,30.0,"Knotts, Jackson SR",,47.0,"Vagana, Rylan FR",,,,,,,,,,
H,41.0,"Burgess, Jack JR/TR",,0.0,"Turner, Kaden FR",,,,,,,,,,
PR,8.0,"Eakin, Coy RS SO",,10.0,"McCray, Drae SR/TR",,4.0,"Brown, Jordan RS SR/TR",,18.0,"Kelly, Josh RS SR/TR",,,,
KR,10.0,"McCray, Drae SR/TR",,4.0,"Brown, Jordan RS SR/TR",,1.0,"Hudson, Micah FR",,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Utah Utes,,,,,,,,,,,,,,,
WR-X,3.0,"Singer, Dorian SR/TR",,9.0,"Alford, Damien SR/TR",,6.0,"Zipperer, Daidren RS FR",,,,,,,
WR-Z,10.0,"Parks, Money SR",,19.0,"Caldarella, Luca SR/TR",,,,,,,,,,
WR-R,5.0,"Pittman, Mycah RS SR/TR",,,,,,,,,,,,,
LT,71.0,"Lomu, Caleb RS FR",,76.0,"Williams, Zereoue RS JR",,,,,,,,,,
LG,73.0,"Togiai, Tanoa RS JR",,62.0,"Moea'i, Solatoa SO",,,,,,,,,,
C,68.0,"Kump, Jaren SR",,53.0,"Maea, Johnny SR",,,,,,,,,,
RG,52.0,"Mokofisi, Michael RS JR",,74.0,"Olson, Keith RS SO",,,,,,,,,,
RT,55.0,"Fano, Spencer SO",,59.0,"Kaumatule, Falcon RS SR",,,,,,,,,,
TE-Y,88.0,"Bentley, Dallen JR/TR",,85.0,"Ryan, Carsen JR/TR",,83.0,"Suguturaga, Miki RS SR",,,,,,,
TE-U,80.0,"Kuithe, Brant SR",,82.0,"King, Landen RS JR/TR",,84.0,"Lohner, Caleb SR/TR",,,,,,,
QB,7.0,"Rising, Cameron RS SR/TR",,11.0,"Wilson, Isaac FR",,,,,,,,,,
RB,2.0,"Bernard, Micah RS SR",,1.0,"Glover, Jaylon JR",,21.0,"Mitchell, Mike RS FR",,,,,,,
DEF,,,,,,,,,,,,,,,
LDE,81.0,"O'Toole, Connor SR",,40.0,"Fitzgerald, Paul RS SO/TR",,,,,,,,,,
LDT,58.0,"Tafuna, Junior SR",,95.0,"Vimahi, Aliki SR",,,,,,,,,,
RDT,57.0,"Tanuvasa, Keanu RS SO",,99.0,"Fotu, Tevita RS SR/TR",,77.0,"Pepa, Simote RS JR",,,,,,,
RDE,0.0,"Fano, Logan RS SO/TR",,7.0,"Fillinger, Van RS SR",,56.0,"Akana, Ka'eo RS SO",,,,,,,
ROVER,21.0,"Reid, Karene SR",,14.0,"Calvert, Josh RS SR/TR",,,,,,,,,,
MAC,12.0,"Fotu, Sione JR",,37.0,"Reynolds, Trey SO",,,,,,,,,,
STUD,8.0,"Barton, Lander JR",,24.0,"Anae, Moroni RS JR",,3.0,"Hall, Johnathan SO",,,,,,,
LCB,5.0,"Vaughn, Zemaiah SR",,4.0,"Calhoun, Cameron RS FR/TR",,30.0,"Randle Jr., John RS FR",,,,,,,
SS,11.0,"Gilman, Alaka'i RS SR/TR",,13.0,"Evans, Rabbit JR/TR",,,,,,,,,,
FS,31.0,"Ritchie, Nate JR",,15.0,"Johnson, Tao RS SO",,,,,,,,,,
RCB,1.0,"Johnson, Kenan RS SR/TR",,9.0,"Davis, Elijah RS SO",,,,,,,,,,
NB,2.0,"Snowden, Smith SO",,18.0,"Shemwell, Quimari FR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,34.0,"Bouwmeester, Jack SR/TR",,38.0,"Coleman, Trey FR",,,,,,,,,,
PK,36.0,"Becker, Cole SR/TR",,38.0,"Coleman, Trey FR",,,,,,,,,,
KO,36.0,"Becker, Cole SR/TR",,38.0,"Coleman, Trey FR",,,,,,,,,,
LS,50.0,"Greep, JT SR",,65.0,"Castor, Logan RS SO",,,,,,,,,,
H,34.0,"Bouwmeester, Jack SR/TR",,46.0,"Janish, Elliot RS JR/TR",,,,,,,,,,
PR,17.0,"Glover, Rayshawn SO/TR",,10.0,"Parks, Money SR",,,,,,,,,,
KR,10.0,"Parks, Money SR",,23.0,"Stanley, Dijon SO",,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
INJ,3.0,"Damuni, Levani RS SR/TR",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
West Virginia Mountaineers,,,,,,,,,,,,,,,
WR-X,84.0,"Clement, Hudson RS SO",,2.0,"Robinson, Justin RS SR/TR",,,,,,,,,,
WR-Z,29.0,"Fox, Preston RS JR",,7.0,"Ray, Traylon SO",,,,,,,,,,
WR-H,5.0,"Bray, Jaden RS JR/TR",,24.0,"Gallagher III, Rodney SO",,11.0,"Farmer, Ric'Darious FR",,,,,,,
LT,74.0,"Milum, Wyatt SR",,60.0,"Williams IV, Johnny RS FR",,,,,,,,,,
LG,55.0,"Rimac, Tomas RS JR",,56.0,"Weidman, Sullivan RS SO",,,,,,,,,,
C,50.0,"Yates, Brandon RS SR",,67.0,"Livingston, Landen RS SO",,,,,,,,,,
RG,66.0,"Hubbard, Ja'Quay RS SR/TR",,52.0,"Krahe, Nick RS FR",,,,,,,,,,
RT,58.0,"Malone, Nick RS SR",,78.0,"Bausley, Xavier RS SO/TR",,,,,,,,,,
TE-Y,87.0,"Taylor, Kole SR/TR",,81.0,"Davis, Treylan RS JR",,,,,,,,,,
QB,6.0,"Greene, Garrett SR",,8.0,"Marchiol, Nicco RS SO",,,,,,,,,,
RB,22.0,"White, Jahiem SO",,4.0,"Donaldson Jr., CJ JR",,,,,,,,,,
DEF,,,,,,,,,,,,,,,
DE,5.0,"Martin, Sean SR",,11.0,"Jackson, T.J. SR/TR",,45.0,"Simmons, Taurus SR",,,,,,,
NT,54.0,"Mulbah, Fatorma RS SR/TR",,99.0,"Russell IV, Hammond RS JR",,69.0,"Gabriel, Nate FR",,,,,,,
DT,96.0,"Vesterinen, Edward SR",,92.0,"Redwood, Asani RS SO",,,,,,,,,,
SPUR,8.0,"Bradley Jr., Tyrin SR/TR",,47.0,"French, Ty SR/TR",,,,,,,,,,
WLB,40.0,"Trotter, Josiah RS FR",,15.0,"Cutter, Ben SO",,,,,,,,,,
MLB,4.0,"Lathan, Trey RS SO",,36.0,"Biser, Caden RS JR",,35.0,"Carrico, Reid RS JR/TR",,,,,,,
SPEAR,2.0,"Burks, Aubrey SR",,17.0,"Jennings, Zae FR",,,,,,,,,,
LCB,0.0,"Garnes, Ayden RS JR/TR",,23.0,"Crandall, TJ SO/TR",,25.0,"Jackson, Jordan RS FR",,,,,,,
CS,22.0,"Jackson, Josiah RS FR",,14.0,"Tarnue, Kekoura SR/TR",,18.0,"Boyce, Israel FR",,,,,,,
FS,12.0,"Wilson Jr., Anthony RS SR/TR",,3.0,"Joseph, Jaheem RS JR/TR",,,,,,,,,,
RCB,1.0,"Hollis Jr., Garnett RS SR/TR",,6.0,"Spells, Jacolby JR",,13.0,"Fagan, Dontez RS SR/TR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,41.0,"Straw, Oliver JR",,98.0,"Bechdel, Leighton RS SR",,,,,,,,,,
PK,22.0,"Hayes II, Michael RS SR/TR",,42.0,"Kocan, RJ RS SO",,,,,,,,,,
KO,22.0,"Hayes II, Michael RS SR/TR",,,,,,,,,,,,,
LS,43.0,"Brinkman, Austin SR",,38.0,"Moss, Macguire RS SO",,,,,,,,,,
H,98.0,"Bechdel, Leighton RS SR",,41.0,"Straw, Oliver JR",,,,,,,,,,
PR,29.0,"Fox, Preston RS JR",,24.0,"Gallagher III, Rodney SO",,,,,,,,,,
KR,84.0,"Clement, Hudson RS SO",,29.0,"Fox, Preston RS JR",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Florida International Panthers,,,,,,,,,,,,,,,
WR-X,9.0,"Burris, Nazeviah GR/TR",,6.0,"Washington, Desna GR/TR",,16.0,"Matthews, Ja'Coby RS SR/TR",,14.0,"Maurice Jr., Luby RS FR",,,,
WR-Z,11.0,"Patterson, Dean RS JR/TR",,13.0,"Lewis, Juju RS SO/TR",,83.0,"McNeal, Kyle RS FR",,,,,,,
WR-H,3.0,"Rivers, Eric RS JR/TR",,19.0,"Fournet, Ross RS JR",,7.0,"Jackson, Mike RS SO",,18.0,"Jnopierre, C'Quan SR/TR",,,,
LT,77.0,"Burke, Travis RS JR/TR",,72.0,"Shellenback, Ben GR/TR",,78.0,"Davis, Jaleel RS SO/TR",,,,,,,
LG,50.0,"Jackson, Naeer RS SO",,53.0,"Michel, Daniel RS FR",,,,,,,,,,
C,59.0,"Buchanon, Jaheim RS FR",,54.0,"Staley, Chad RS SO/TR",,69.0,"Tjon, Ming RS JR",,,,,,,
RG,55.0,"Lawson, Wyatt RS JR",,71.0,"Schultze, Jackson RS JR/TR",,,,,,,,,,
RT,56.0,"Lee, JaDarious RS SO",,70.0,"Rabess, Mykeal RS FR",,,,,,,,,,
TE-Y,89.0,"Beers, Rocky RS JR/TR",,88.0,"Miamen, Josiah RS SR/TR",,25.0,"Redmon, Dylan RS FR",,85.0,"Ferguson, Antonio RS FR/TR",,87.0,"Staten, Braiden RS FR",
QB,1.0,"Jenkins, Keyone SO",,4.0,"Carlson, Haden RS JR",,2.0,"Jones, Amari RS SO",,12.0,"Peery, Chayden RS JR/TR",,10.0,"Dees, Clayton FR",
RB,0.0,"Lawrence, Shomari RS JR/TR",,8.0,"Joseph, Lexington GR",,5.0,"Owens, Kejon RS JR",,20.0,"Lyons, Devonte FR",,,,
DEF,,,,,,,,,,,,,,,
LDE,44.0,"Davis, Keegan RS JR",,15.0,"Davis, Giovanni SR/TR",,5.0,"Shannon, Steven RS SO",,,,,,,
NT,93.0,"Gustafson, Cole JR/TR",,95.0,"Hill, Quaylen RS JR",,,,,,,,,,
RDE,8.0,"Passmore, Jeramy RS SR/TR",,17.0,"Larkins, Claude RS SO/TR",,94.0,"Tatum, Marquez RS JR/TR",,,,,,,
RUSH,10.0,"Walls III, Eddie JR/TR",,45.0,"Brewton, Toddrick SO",,,,,,,,,,
MLB,1.0,"Anderson-Taylor, Elijah RS SR/TR",,6.0,"Barnes, Travion JR/TR",,11.0,"Courtney Jr., Percy RS SO",,,,,,,
WLB,0.0,"Peterson, Reggie RS SR",,18.0,"Nunoo, Dwight JR/TR",,35.0,"Taylor, Josiah FR",,,,,,,
LCB,12.0,"Masses, Hezekiah JR",,26.0,"Evans III, Victor RS FR",,,,,,,,,,
BAN,32.0,"Salla Jr., Bobby RS JR/TR",,3.0,"Evans, JoJo RS JR/TR",,,,,,,,,,
FS,4.0,"Christian, CJ SR/TR",,22.0,"Sterlin, Shamir FR",,29.0,"Thompson, Preston RS FR",,,,,,,
RCB,2.0,"Blades II, Brian RS JR",,21.0,"Holliman, Jamari RS FR",,,,,,,,,,
NB,7.0,"Potts, Jamal SR",,27.0,"Clark, Mister RS FR",,,,,,,,,,
ST,,,,,,,,,,,,,,,
PT,25.0,"Montiel, Daton RS SR/TR",,96.0,"Doelling, Jordan RS JR/TR",,,,,,,,,,
PK,37.0,"Gabriel, Chase SR",,47.0,"Prado, Alejandro SR/TR",,,,,,,,,,
KO,37.0,"Gabriel, Chase SR",,46.0,"Enriquez, Matthew RS JR",,,,,,,,,,
LS,86.0,"Lee, Jackson JR",,90.0,"Manley, Kinnick RS SO/TR",,,,,,,,,,
H,25.0,"Montiel, Daton RS SR/TR",,96.0,"Doelling, Jordan RS JR/TR",,,,,,,,,,
PR,11.0,"Patterson, Dean RS JR/TR",,7.0,"Jackson, Mike RS SO",,,,,,,,,,
KR,15.0,"Snowden, T.J. RS SO/TR",,,,,,,,,,,,,
Reserves,,,,,,,,,,,,,,,
RES,,,,,,,,,,,,,,,
SUS,62.0,"Bock II, John JR",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Jacksonville State Gamecocks,,,,,,,,,,,,,,,
WR-X,14.0,"Spector, Brannon RS SR/TR",,2.0,"Pettway, Michael RS JR/TR",,89.0,"Rechsteiner, Brock RS JR",,16.0,"Wright, Dallan RS JR/TR",,,,
WR-Z,13.0,"Wells, P.J. RS SR",,5.0,"Dawson, Tar'Varish RS JR/TR",,88.0,"McCants, Jordan RS SO",,,,,,,
WR-SL,3.0,"Rudolph, Samario RS SR/TR",,1.0,"Lacey, Demarcus JR/TR",,9.0,"Bowie, Jarod RS JR/TR",,86.0,"Little, Jayvin SR/TR",,,,
LT,73.0,"O'Steen, Will RS JR",,,,,,,,,,,,,
LG,74.0,"Webb, Clay RS SR/TR",,,,,,,,,,,,,
C,78.0,"Robey, Brock SR/TR",,,,,,,,,,,,,
RG,55.0,"Harley, Daveion SO",,60.0,"Griffin, Cameron SO",,,,,,,,,,
RT,69.0,"Jones, Cam RS SR/TR",,71.0,"Arnold, K.D. SO",,,,,,,,,,
TE,17.0,"Brown, Sean RS SR/TR",,81.0,"Barrick, Jacob JR",,19.0,"Baldwin, Pearson RS JR",,45.0,"Fuller, Cole RS JR",,,,
QB,7.0,"Smothers, Logan SR/TR",,11.0,"Turner, Zion RS SO/TR",,8.0,"Smoot, Te'Sean RS SO",,6.0,"Huff, Tyler RS SR/TR",,,,
RB,25.0,"Lewis, Anwar RS SR/TR",,4.0,"Wiggins, Ron RS SR",,0.0,"Paul, Andrew RS SO/TR",,21.0,"Savage, Justus FR",,,,
DEF,,,,,,,,,,,,,,,
DE,30.0,"Swain, J-Rock SR",,5.0,"Hughes, Reginald RS JR/TR",,91.0,"Stansbury, Gharin RS JR/TR",,94.0,"Larry, Jumarion RS SO",,,,
NT,54.0,"Brown, Dylan RS SR/TR",,97.0,"Samuel, Ricky RS SR/TR",,92.0,"Carter, Talan FR",,,,,,,
DT,96.0,"Prater, Darrell RS SO",,95.0,"Clark, Keyon RS SO",,93.0,"Campbell, Jawaun FR",,,,,,,
BAN,41.0,"Young Jr., Curley RS SR/TR",,19.0,"Joseph, Morven SR/TR",,47.0,"Mims, Corbet RS JR/TR",,55.0,"Floyd, Tae RS FR",,,,
MLB,16.0,"Hale, Laletia RS SR",,34.0,"DeLoach, Dajwon SO",,49.0,"Gallagher, Thaxton JR/TR",,,,,,,
WLB,11.0,"McCray, Ky'won SR/TR",,15.0,"Al-Amin, Jibreel RS SO",,48.0,"Birdsong, Jaleel RS SO",,,,,,,
LCB,4.0,"Mack, Jabari JR",,1.0,"Latimer, Geimere SO",,3.0,"Solomon II, Kenney SR/TR",,24.0,"Jones, Jayke FR",,,,
SS,9.0,"Taylor, Pat RS JR/TR",,21.0,"Ambush, Austin RS JR/TR",,7.0,"Denson, Tee RS JR/TR",,,,,,,
FS,6.0,"Perry, Fred JR",,8.0,"Carter, Antonio GR/TR",,20.0,"Franklin Jr., Travis SO",,,,,,,
RCB,13.0,"Carter, Derek RS JR",,2.0,"Baker, Marco SR",,10.0,"Davis, Fred SR/TR",,,,,,,
NB,0.0,"Bride, Tyler SR/TR",,36.0,"Alexander, Chase JR/TR",,12.0,"Jones, Malcolm RS SO/TR",,18.0,"Poyser, Zechariah RS FR",,,,
ST,,,,,,,,,,,,,,,
PT,87.0,"Dawson, Jack SR/TR",,29.0,"Backe, Cade RS JR/TR",,,,,,,,,,
PK,37.0,"Rippa, Garrison RS FR",,47.0,"Macias, Julio RS SO/TR",,,,,,,,,,
KO,37.0,"Rippa, Garrison RS FR",,47.0,"Macias, Julio RS SO/TR",,,,,,,,,,
LS,36.0,"Westfelt, Collin RS JR/TR",,53.0,"Hogan, Luke RS JR",,,,,,,,,,
H,87.0,"Dawson, Jack SR/TR",,29.0,"Backe, Cade RS JR/TR",,,,,,,,,,
PR,86.0,"Little, Jayvin SR/TR",,,,,,,,,,,,,
KR,86.0,"Little, Jayvin SR/TR",,2.0,"Pettway, Michael RS JR/TR",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Kennesaw State Owls,,,,,,,,,,,,,,,
WR-X,5.0,"Bohannon, Blake RS JR",,16.0,"Thomas, Destun RS SO/TR",,28.0,"Cole, David RS FR",,,,,,,
WR-Z,6.0,"Moss, Christian RS JR/TR",,38.0,"Williamson, Josh RS SO",,,,,,,,,,
WR-W,1.0,"Benyard, Gabriel RS JR",,8.0,"Wallace, Tykeem RS JR",,37.0,"Thomas, Dai'shaun RS SO/TR",,,,,,,
LT,71.0,"Wright, Nate RS SO",,57.0,"Bowers, Mason RS JR/TR",,,,,,,,,,
LG,65.0,"Pennington, JT RS JR/TR",,54.0,"May, Kaleb RS FR",,,,,,,,,,
C,66.0,"Williams, Zacchaeus RS JR/TR",,76.0,"Habeck, Brian RS SO",,,,,,,,,,
RG,55.0,"Hines, Seaburn RS JR/TR",,72.0,"Newman, Ethan RS FR",,,,,,,,,,
RT,73.0,"Kettels, Jacob GR/TR",,56.0,"Butts, Trey RS SO",,,,,,,,,,
TE,86.0,"Kent, Carson RS SO",,25.0,"Manning, Jackson RS JR/TR",,80.0,"Finer, Connor RS JR",,85.0,"Darnell, Rowan RS SO",,,,
QB,9.0,"Bryson, Davis RS SO",,12.0,"Bohannon, Braden RS SO",,4.0,"Johnson, Khalib RS SO/TR",,10.0,"Woods III, Earl RS FR/TR",,,,
RB,0.0,"Benefield, Michael RS SR/TR",,3.0,"Diggs, Alexander RS SO",,24.0,"Clemons, Yesiah RS SR/TR",,33.0,"Brown, Rob RS SO",,,,
FB,2.0,"Daniels, Preston RS SR",,,,,,,,,,,,,
DEF,,,,,,,,,,,,,,,
DE,94.0,"Miles, Jordan RS JR/TR",,58.0,"Myers, Jahon RS JR",,59.0,"Charles, Nicholas RS SO/TR",,,,,,,
NT,92.0,"Scott, Tyler RS JR",,99.0,"Walker, Thomarius RS JR/TR",,93.0,"Jarrett, Jaylan RS FR",,,,,,,
DT,50.0,"Dunlap, Tylon RS SR/TR",,97.0,"Watkins, Adam RS JR",,90.0,"Nwoha, Ugonna RS SO",,53.0,"Miller, AJ RS FR",,,,
BAN,96.0,"Westmoreland, Donovan RS SO/TR",,43.0,"Rucks, Jamar RS JR/TR",,49.0,"Silas, Juandarion RS SO",,98.0,"Taylor, RJ RS SO",,,,
MLB,48.0,"Johnson, Donelius RS SO",,44.0,"Hopson, Baron RS JR/TR",,41.0,"Scarver, Amir RS FR",,47.0,"Franklin, Deldrick RS FR",,,,
WLB,14.0,"Barnum, Jalen SR",,7.0,"Benyard, Garland RS JR",,52.0,"Hargrove, Trey RS FR",,,,,,,
LCB,20.0,"Hallum, Tyler RS JR/TR",,15.0,"Williams, Jayven RS SO",,30.0,"Douglas, Andrew RS JR/TR",,,,,,,
SS,23.0,"Paul, Isaac RS FR",,22.0,"Redding, Markell RS FR",,,,,,,,,,
ROVER,11.0,"Porter, Sidney RS JR/TR",,25.0,"Billingsley, Que RS FR",,,,,,,,,,
FS,34.0,"Townsel, Chris RS SR/TR",,29.0,"Jones, Milon JR",,,,,,,,,,
RCB,21.0,"Washington Jr., JeRico RS FR",,18.0,"Sawyer, Nick RS SO",,27.0,"Hamilton, Five RS FR",,,,,,,
ST,,,,,,,,,,,,,,,
PT,91.0,"Huiet, Joshua RS JR",,83.0,"Ulrich, Jacob RS FR",,,,,,,,,,
PK,96.0,"Williams, Britton RS JR/TR",,99.0,"Welch, Austin RS JR/TR",,98.0,"Calvillo, Erik RS FR",,,,,,,
KO,96.0,"Williams, Britton RS JR/TR",,99.0,"Welch, Austin RS JR/TR",,98.0,"Calvillo, Erik RS FR",,,,,,,
LS,69.0,"Robinson, Bryce RS SO/TR",,45.0,"Brennan, Connor RS FR/TR",,58.0,"Blanton, Ben FR",,,,,,,
H,91.0,"Huiet, Joshua RS JR",,83.0,"Ulrich, Jacob RS FR",,,,,,,,,,
PR,1.0,"Benyard, Gabriel RS JR",,3.0,"Diggs, Alexander RS SO",,,,,,,,,,
KR,1.0,"Benyard, Gabriel RS JR",,3.0,"Diggs, Alexander RS SO",,8.0,"Wallace, Tykeem RS JR",,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Liberty Flames,,,,,,,,,,,,,,,
WR-X,5.0,"Canion, Elijah RS JR/TR",,8.0,"Mobley, Tyson RS JR/TR",,9.0,"Lee Jr., Donte RS SO/TR",,,,,,,
